ItemID,SupplierID,Order (Pallets)
1,1,0.0
1,2,1000.0
1,3,0.0
1,4,1000.0
1,5,0.0
2,1,0.0
2,2,0.0
2,3,1000.0
2,4,1000.0
2,5,1000.0
3,1,0.0
3,2,1000.0
3,3,0.0
3,4,1000.0
3,5,0.0
4,1,1000.0
4,2,0.0
4,3,1000.0
4,4,0.0
4,5,1000.0
5,1,1000.0
5,2,0.0
5,3,1000.0
5,4,0.0
5,5,1000.0
6,1,1000.0
6,2,1000.0
6,3,0.0
6,4,1000.0
6,5,0.0
7,1,1000.0
7,2,1000.0
7,3,1000.0
7,4,0.0
7,5,0.0
8,1,0.0
8,2,1000.0
8,3,1000.0
8,4,1000.0
8,5,1000.0
9,1,1000.0
9,2,0.0
9,3,1000.0
9,4,1000.0
9,5,1000.0
10,1,1000.0
10,2,1000.0
10,3,0.0
10,4,1000.0
10,5,1000.0
11,1,1000.0
11,2,1000.0
11,3,1000.0
11,4,0.0
11,5,1000.0
12,1,1000.0
12,2,1000.0
12,3,1000.0
12,4,1000.0
12,5,0.0
13,1,1000.0
13,2,1000.0
13,3,1000.0
13,4,1000.0
13,5,0.0
14,1,1000.0
14,2,1000.0
14,3,1000.0
14,4,1000.0
14,5,0.0
15,1,1000.0
15,2,1000.0
15,3,1000.0
15,4,1000.0
15,5,0.0
